id	184A1	184B5	21MT1	21NT	21PT	600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	T47D_Kbluc	UACC812	UACC893	ZR751	ZR7530	ZR75B
Group	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
ENSG00000149591	1.74	5.05	1.37	0.87	1.39	0.84	2.57	2.61	2.83	10.5	1.39	4.45	5.6	4.02	6.37	4.59	2.44	4.63	4.95	2.37	6.05	2	3.18	10.44	1.79	2.27	8.84	5.02	4.46	6.82	2.32	4.8	2.19	2.48	2.17	4.88	1.86	3.12	9.04	2.65	3.67	3.06	3.85	7.56	0.59	3.06	2.99	3.99	3.66	2.12	0.86	1.46
ENSG00000107485	5.39	4.52	3.25	3.69	3.82	4.17	3.3	5.91	8.83	0.08	8.31	6.24	6.05	6.95	2.51	0.12	6.42	7.64	2.55	4.12	4.35	5.44	7.08	2.84	2.66	5.51	2.14	5.67	8.9	2.91	3.79	2.82	8.82	8.43	6.12	2.9	5.69	8.97	0.52	4.2	5.36	5.6	5.46	4.32	5.76	8.76	9	8.65	5.85	7.59	6.43	7.48
ENSG00000096006	0	0	0	0.19	0	10.02	4.86	0.57	0.41	0.08	0	1.08	1.08	0.14	0	0	4.92	1.04	0.46	0	0.41	1.35	3.26	0.44	0	3.5	0.04	0	0.14	0	0	0	1.18	2	5.95	0	1.4	0.25	0	5.15	0	0.5	0.96	0.27	9.79	2.91	1.71	0	3.56	2.03	5.66	0.62
ENSG00000042493	7.7	4.79	5.53	3.75	3.58	0.76	4.09	2.27	5.33	6.77	1.4	8.22	7.59	5.97	5.8	3.74	2.54	4.11	6.04	4.92	7.86	2.43	4.12	3.08	6.45	8.49	7.51	8.12	5.54	8.03	8.65	8.78	3.76	1.99	4.35	8.02	3.52	6.46	8.02	2.9	10.91	8.13	7.14	8.17	0.96	6.56	6.86	8.01	4.1	4.22	3.77	4.23
ENSG00000148671	4.53	5.37	2.71	2.48	1.98	0	3.59	6.52	6.57	0	5.43	5.96	4.72	6.37	4.64	0.24	7.33	5.08	0.32	6.1	0	0	4.62	0	0.54	1.26	1.32	4.99	3.28	5.32	3.74	3.71	1.79	6.05	6.84	0	6.96	1.61	0	3.66	1.86	3.74	3.91	2.45	5.59	3.73	4.5	5.02	4.23	6.18	7.58	7.13
ENSG00000131435	6.65	5.4	3.9	1.52	1.82	1.16	0	2.55	0	0	0	1.25	1.42	0.04	4.99	1.69	1.74	0	1.23	4.07	4.29	0	4.02	0.31	5.69	4.25	4.69	2.8	0.87	6.64	7.22	6.51	0	0.91	0	6	0.11	0.07	6.25	0	0	2.21	0	0.73	0.27	0	0	4.51	0	0	0.04	0
ENSG00000121552	6.15	9.31	0.15	0.94	0.82	0	0.57	2.15	0.37	0.46	0	0.75	1.33	0	0	1.84	0.8	2.59	2.64	5.67	3.93	2.71	3.26	2.98	1.41	5.85	0.39	3.32	1.07	6.78	4.62	5.25	7.01	0	6.68	0	4.56	0	1.54	2.12	0	4.19	4.32	4.59	1.57	0.43	0.58	0	0	2.88	0.16	0.32
ENSG00000144063	3.98	1.97	5.49	5.38	5.1	3.03	6.94	0.99	0.9	0	0.42	0.9	1.15	0.4	5.83	0.1	1.83	0.12	1.72	5.75	6.25	7.23	2.91	3.76	2.12	5.91	0.24	5.66	3.62	2.26	6.91	5.12	0.6	0.88	3.06	2.21	0.14	0.01	5.15	5.68	5.26	3.42	5.47	6.17	4.04	0.45	0.56	2.84	6.64	0.78	0.9	0.29
ENSG00000137975	3.29	6.88	0.15	0.06	0.04	0.48	0.58	5.5	0.08	1.75	2.18	0	0.27	0.16	0	0.38	0	4.99	0.14	1.93	2.39	2.09	3.51	2.24	0.04	0.36	0.2	0.03	0.16	4.73	0.32	3.5	0.69	0.06	4.64	0.06	7.59	8.39	0	0.08	0	0.23	5.9	0.77	7.55	0	0.03	0.38	2.78	1.15	2.4	0.29
ENSG00000049283	5.25	4.98	5.01	5.06	5.1	4.28	6.7	6.57	6.37	0.1	4.93	8.25	6.93	8.53	4.36	0.03	5.98	6.6	5.16	4.37	3.8	5.01	7.44	3.5	0.34	4.85	0.07	6.36	7.58	1.2	1.34	0.79	5.5	4.9	6.61	0	7.47	6.76	3.84	6.3	0.64	4.36	4.01	5.95	6.68	6.8	6.83	6.96	7.55	6.91	5.79	6.47
ENSG00000019582	2.9	0	5.86	5.13	5.18	2.4	0.58	0	3.42	0	0.73	1.74	2.03	0.7	3.11	3.04	0	1.81	1.71	5.46	6.5	0.71	2.98	0	0.78	7.61	0.25	0	1.2	0.77	1.14	0.68	0.18	6.69	2.69	0.49	0.11	0.07	6.28	0.1	1.47	2.4	1.17	6.8	0.79	4.1	5.86	7.16	0	0.61	0	0.19
